MA	2500100000	00000000	County subdivisions not defined	F	0	2047257333	       0.000	     790.451	 41.799014	 -70.211880
MA	2500103690	00618248	Barnstable Town city	F	155188757	42829852	      59.919	      16.537	 41.661478	 -70.356951
MA	2500107175	00619412	Bourne town	A	105286925	31632658	      40.652	      12.213	 41.717460	 -70.591824
MA	2500107980	00618249	Brewster town	A	59416208	6632928	      22.941	       2.561	 41.747513	 -70.066223
MA	2500112995	00618250	Chatham town	A	41892737	43619179	      16.175	      16.841	 41.621629	 -69.981956
MA	2500116775	00618252	Dennis town	A	53340250	4565974	      20.595	       1.763	 41.706123	 -70.164823
MA	2500119295	00619414	Eastham town	A	36176405	30405540	      13.968	      11.740	 41.841572	 -69.988926
MA	2500123105	00618253	Falmouth town	A	114112355	26809905	      44.059	      10.351	 41.594939	 -70.599243
MA	2500129020	00618254	Harwich town	A	54091337	5735366	      20.885	       2.214	 41.696512	 -70.070113
MA	2500139100	00618256	Mashpee town	A	60633401	9982381	      23.411	       3.854	 41.617623	 -70.492713
MA	2500151440	00618257	Orleans town	A	36683088	22168297	      14.163	       8.559	 41.769350	 -69.969034
MA	2500155500	00618258	Provincetown town	A	25046220	20232205	       9.670	       7.812	 42.056913	 -70.190488
MA	2500159735	00618259	Sandwich town	A	111073075	3812696	      42.886	       1.472	 41.713200	 -70.485737
MA	2500170605	00618260	Truro town	A	54268867	13686727	      20.953	       5.284	 42.013560	 -70.064152
MA	2500174385	00618261	Wellfleet town	A	51240913	40455530	      19.784	      15.620	 41.916805	 -70.027100
MA	2500182525	00618262	Yarmouth town	A	62539355	10519493	      24.147	       4.062	 41.674949	 -70.226014
MA	2500300555	00619415	Adams town	A	59281215	183354	      22.889	       0.071	 42.625560	 -73.119828
MA	2500300975	00618263	Alford town	A	29801968	105437	      11.507	       0.041	 42.254399	 -73.429040
MA	2500304545	00619416	Becket town	A	119306476	4481496	      46.064	       1.730	 42.294853	 -73.088470
